conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2052692676693442656,Fri May 08 10:19:10 +0000 2026,0,dengan penghasilan jutaan rupiah dalam sehari di akar rumput kelompok yang memperoleh akses keuntungan dan kuasa ekonomi besar dari suplai negara atas nama perbaikan gizi pengentasan kelaparan pengurangan kemiskinan hingga pendidikan.,2052694793235644686,,LuckyLaki24,in,,0,1,0,https://x.com/undefined/status/2052694793235644686,1918263473949294596,
2052694754589368583,Fri May 08 10:19:01 +0000 2026,0,kerja bagus pemerintah rupiah melemah tapi APBN terkendali. bi otoritas moneter yang kompeten https://t.co/Fv9wlpJa60,2052694754589368583,https://pbs.twimg.com/media/HHyi_y5aUAA9gmi.jpg,,in,,0,0,0,https://x.com/undefined/status/2052694754589368583,2688963372,
2052694631130025995,Fri May 08 10:18:31 +0000 2026,11,ya Allah aku sudah siap jika harus dititipkan rezeki sebanyak 5M rupiah.,2052694631130025995,,,in,,0,4,3,https://x.com/undefined/status/2052694631130025995,1675120299745091585,
2052694594694139924,Fri May 08 10:18:23 +0000 2026,0,When ya bisa beli merch kpop tanpa harus mikirin rate naik tax dan biaya2 lainnya yg bikin harga merchnya jadi semakin mahal,2052694594694139924,,,in,,0,0,0,https://x.com/undefined/status/2052694594694139924,1753231831749779456,
2052694513123283249,Fri May 08 10:18:03 +0000 2026,0,Bahasa halus dari take profit adalah selamatkan rupiah https://t.co/sxf4hVKn5S,2052694513123283249,https://pbs.twimg.com/media/HHyixqaa0AAG_K6.jpg,,in,,0,0,0,https://x.com/undefined/status/2052694513123283249,942126235118792706,
2052694461159964780,Fri May 08 10:17:51 +0000 2026,0,support Menkeu Yudhi! apbn terjaga meski rupiah melemah BI pegang kendali moneter https://t.co/IcFAMtrEfT,2052694461159964780,https://pbs.twimg.com/media/HHyiuztacAAV-gv.jpg,,in,,0,0,0,https://x.com/undefined/status/2052694461159964780,2851881191,
2052694438745612423,Fri May 08 10:17:46 +0000 2026,2,NEGARA MEMBELI UTANGNYA SENDIRI : RUPIAH DISELAMATKAN ATAU DISEMANGATI? Pasar keuangan Indonesia akhirnya mendapat sinyal yang selama ini coba disembunyikan dengan kalimat optimisme. Menteri Keuangan Purbaya Yudhi Sadewa menghidupkan kembali Bond Stabilization Fund (BSF) untuk https://t.co/RpQYTQrqwx,2052694438745612423,https://pbs.twimg.com/media/HHyesjybYAA3nrV.png,,in,,0,0,1,https://x.com/undefined/status/2052694438745612423,1772323119111487490,
2052694329035296777,Fri May 08 10:17:19 +0000 2026,0,Harga minyak dunia bisa naik turun dalam hitungan jam. Lalu faktor mana yang paling sering bikin market bergerak liar? Baca selengkapnya di website https://t.co/6ymBWK43zW #MinyakDunia #HargaMinyak #OilPrice #TradingForex #ForexIndonesia #Investasi #EkonomiGlobal https://t.co/W0iEoohinR,2052694329035296777,https://pbs.twimg.com/amplify_video_thumb/2052692832453087232/img/9nNwFceAeUVX960U.jpg,,in,,0,0,0,https://x.com/undefined/status/2052694329035296777,95384897,
2052352489849274715,Fri May 08 10:17:17 +0000 2026,0,Sebagian orang senang dollar naik tapi sebagai WNI nyesek banget semua harga kebutuhan naik. https://t.co/xK1LEdGiHm,2052694317094105333,,noboru42256,in,,0,0,0,https://x.com/undefined/status/2052694317094105333,2020052433272205319,
2052694297183715399,Fri May 08 10:17:12 +0000 2026,0,mantap Menkeu Purbaya APBN tetap terkendali meski rupiah melemah. bi urus nilai tukar pemerintah fokus fiskal stabil https://t.co/ts4K52DsN4,2052694297183715399,https://pbs.twimg.com/media/HHyilQLbsAAArtt.jpg,,in,,0,0,0,https://x.com/undefined/status/2052694297183715399,1010747130,
